"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1992","Finland","Age in completed years","Total","Number","Total","14,554",""
"1992","Sweden","Age in completed years","Total","Number","Total","45,348",""
"1992","United Kingdom","Age in completed years","Total","Number","Total",":",""
"1992","Iceland","Age in completed years","Total","Number","Total","2,959",""
"1992","Liechtenstein","Age in completed years","Total","Number","Total",":",""
"1992","Norway","Age in completed years","Total","Number","Total","26,743",""
"1992","Switzerland","Age in completed years","Total","Number","Total","157,190",""
"1993","Belgium","Age in completed years","Total","Number","Total","63,749",""
"1993","Bulgaria","Age in completed years","Total","Number","Total",":",""
"1993","Czechia","Age in completed years","Total","Number","Total",":",""
"1993","Denmark","Age in completed years","Total","Number","Total","43,400",""
"1993","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","1,277,408",""
"1993","Estonia","Age in completed years","Total","Number","Total",":",""
"1993","Ireland","Age in completed years","Total","Number","Total","35,000",""
"1993","Greece","Age in completed years","Total","Number","Total","107,462",""
"1993","Spain","Age in completed years","Total","Number","Total","33,026",""
"1993","France","Age in completed years","Total","Number","Total",":",""
"1993","Croatia","Age in completed years","Total","Number","Total","57,702",""
"1993","Italy","Age in completed years","Total","Number","Total","100,401",""
"1993","Cyprus","Age in completed years","Total","Number","Total",":",""
"1993","Latvia","Age in completed years","Total","Number","Total","4,114",""
"1993","Lithuania","Age in completed years","Total","Number","Total","2,850",""
"1993","Luxembourg","Age in completed years","Total","Number","Total","10,069",""
"1993","Hungary","Age in completed years","Total","Number","Total",":",""
"1993","Malta","Age in completed years","Total","Number","Total",":",""
"1993","Netherlands","Age in completed years","Total","Number","Total","119,154",""
"1993","Austria","Age in completed years","Total","Number","Total",":",""
"1993","Poland","Age in completed years","Total","Number","Total","5,924",""
"1993","Portugal","Age in completed years","Total","Number","Total","27,989",""
"1993","Romania","Age in completed years","Total","Number","Total",":",""
"1993","Slovenia","Age in completed years","Total","Number","Total","2,745",""
"1993","Slovakia","Age in completed years","Total","Number","Total","9,106",""
"1993","Finland","Age in completed years","Total","Number","Total","14,795",""
"1993","Sweden","Age in completed years","Total","Number","Total","61,872",""
"1993","United Kingdom","Age in completed years","Total","Number","Total",":",""
"1993","Iceland","Age in completed years","Total","Number","Total","2,698",""
"1993","Liechtenstein","Age in completed years","Total","Number","Total",":",""
"1993","Norway","Age in completed years","Total","Number","Total","31,711",""
"1993","Switzerland","Age in completed years","Total","Number","Total","144,537",""
"1994","Belgium","Age in completed years","Total","Number","Total","66,147",""
"1994","Bulgaria","Age in completed years","Total","Number","Total",":",""
"1994","Czechia","Age in completed years","Total","Number","Total",":",""
"1994","Denmark","Age in completed years","Total","Number","Total","44,961",""
"1994","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","1,082,553",""
"1994","Estonia","Age in completed years","Total","Number","Total",":",""
"1994","Ireland","Age in completed years","Total","Number","Total","30,000",""
"1994","Greece","Age in completed years","Total","Number","Total","86,959",""
"1994","Spain","Age in completed years","Total","Number","Total","34,123",""
"1994","France","Age in completed years","Total","Number","Total",":",""
"1994","Croatia","Age in completed years","Total","Number","Total","33,426",""
"1994","Italy","Age in completed years","Total","Number","Total","99,105",""
"1994","Cyprus","Age in completed years","Total","Number","Total",":",""
"1994","Latvia","Age in completed years","Total","Number","Total","3,046",""
"1994","Lithuania","Age in completed years","Total","Number","Total","1,664",""
"1994","Luxembourg","Age in completed years","Total","Number","Total","10,145",""
"1994","Hungary","Age in completed years","Total","Number","Total",":",""
"1994","Malta","Age in completed years","Total","Number","Total",":",""
"1994","Netherlands","Age in completed years","Total","Number","Total","92,143",""
"1994","Austria","Age in completed years","Total","Number","Total",":",""
