"TIME","GEO","INDIC_DE","Value"
"1960","Turkey","Average population - total","27,437,520"
"1960","Turkey","Live births - total",":"
"1960","Turkey","Deaths - total",":"
"1960","Andorra","Average population - total",":"
"1960","Andorra","Live births - total",":"
"1960","Andorra","Deaths - total",":"
"1960","Belarus","Average population - total",":"
"1960","Belarus","Live births - total",":"
"1960","Belarus","Deaths - total",":"
"1960","Bosnia and Herzegovina","Average population - total","3,238,989"
"1960","Bosnia and Herzegovina","Live births - total","110,499"
"1960","Bosnia and Herzegovina","Deaths - total","33,360"
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Average population - total","945,250"
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Live births - total","41,631"
"1960","Kosovo (under United Nations Security Council Resolution 1244/99)","Deaths - total","13,365"
"1960","Moldova","Average population - total",":"
"1960","Moldova","Live births - total",":"
"1960","Moldova","Deaths - total",":"
"1960","Monaco","Average population - total",":"
"1960","Monaco","Live births - total",":"
"1960","Monaco","Deaths - total",":"
"1960","Russia","Average population - total",":"
"1960","Russia","Live births - total",":"
"1960","Russia","Deaths - total",":"
"1960","San Marino","Average population - total",":"
"1960","San Marino","Live births - total",":"
"1960","San Marino","Deaths - total",":"
"1960","Ukraine","Average population - total",":"
"1960","Ukraine","Live births - total",":"
"1960","Ukraine","Deaths - total",":"
"1960","Armenia","Average population - total",":"
"1960","Armenia","Live births - total",":"
"1960","Armenia","Deaths - total",":"
"1960","Azerbaijan","Average population - total",":"
"1960","Azerbaijan","Live births - total",":"
"1960","Azerbaijan","Deaths - total",":"
"1960","Georgia","Average population - total",":"
"1960","Georgia","Live births - total",":"
"1960","Georgia","Deaths - total",":"
"1961","Belgium","Average population - total","9,183,948"
"1961","Belgium","Live births - total","158,431"
"1961","Belgium","Deaths - total","106,985"
"1961","Bulgaria","Average population - total","7,943,118"
"1961","Bulgaria","Live births - total","137,861"
"1961","Bulgaria","Deaths - total","62,562"
"1961","Czechia","Average population - total","9,586,651"
"1961","Czechia","Live births - total","131,019"
"1961","Czechia","Deaths - total","94,973"
"1961","Denmark","Average population - total","4,611,687"
"1961","Denmark","Live births - total","76,439"
"1961","Denmark","Deaths - total","43,310"
"1961","Germany (until 1990 former territory of the FRG)","Average population - total","56,273,735"
"1961","Germany (until 1990 former territory of the FRG)","Live births - total","1,012,687"
"1961","Germany (until 1990 former territory of the FRG)","Deaths - total","627,561"
"1961","Germany including former GDR","Average population - total","73,377,632"
"1961","Germany including former GDR","Live births - total","1,313,505"
"1961","Germany including former GDR","Deaths - total","850,300"
"1961","Estonia","Average population - total","1,225,077"
"1961","Estonia","Live births - total","20,230"
"1961","Estonia","Deaths - total","13,036"
"1961","Ireland","Average population - total","2,824,400"
"1961","Ireland","Live births - total","59,825"
"1961","Ireland","Deaths - total","34,763"
"1961","Greece","Average population - total","8,398,050"
"1961","Greece","Live births - total","150,716"
"1961","Greece","Deaths - total","63,955"
"1961","Spain","Average population - total","30,739,250"
"1961","Spain","Live births - total","651,558"
"1961","Spain","Deaths - total","256,394"
"1961","France","Average population - total",":"
"1961","France","Live births - total",":"
"1961","France","Deaths - total",":"
"1961","France (metropolitan)","Average population - total","46,162,828"
"1961","France (metropolitan)","Live births - total","835,240"
"1961","France (metropolitan)","Deaths - total","500,510"
"1961","Croatia","Average population - total","4,167,292"
"1961","Croatia","Live births - total","74,190"
"1961","Croatia","Deaths - total","37,796"
"1961","Italy","Average population - total","50,536,350"
"1961","Italy","Live births - total","929,657"
"1961","Italy","Deaths - total","468,455"
"1961","Cyprus","Average population - total","574,733"
"1961","Cyprus","Live births - total","15,059"
"1961","Cyprus","Deaths - total","6,206"
"1961","Latvia","Average population - total","2,152,681"
"1961","Latvia","Live births - total","35,993"
"1961","Latvia","Deaths - total","21,759"
"1961","Lithuania","Average population - total","2,823,550"
"1961","Lithuania","Live births - total","62,775"
"1961","Lithuania","Deaths - total","22,365"
"1961","Luxembourg","Average population - total","316,845"
"1961","Luxembourg","Live births - total","5,112"
"1961","Luxembourg","Deaths - total","3,616"
"1961","Hungary","Average population - total","10,027,958"
"1961","Hungary","Live births - total","140,365"
"1961","Hungary","Deaths - total","96,410"
"1961","Malta","Average population - total","325,250"
"1961","Malta","Live births - total","7,674"
"1961","Malta","Deaths - total","2,937"
"1961","Netherlands","Average population - total","11,638,712"
"1961","Netherlands","Live births - total","247,407"
"1961","Netherlands","Deaths - total","87,923"
"1961","Austria","Average population - total","7,086,299"
"1961","Austria","Live births - total","131,563"
"1961","Austria","Deaths - total","85,673"
"1961","Poland","Average population - total","29,964,000"
"1961","Poland","Live births - total","627,624"
"1961","Poland","Deaths - total","227,759"
"1961","Portugal","Average population - total","8,929,316"
"1961","Portugal","Live births - total","217,516"
"1961","Portugal","Deaths - total","99,590"
"1961","Romania","Average population - total","18,555,250"
"1961","Romania","Live births - total","324,859"
"1961","Romania","Deaths - total","161,936"
"1961","Slovenia","Average population - total","1,594,131"
"1961","Slovenia","Live births - total","28,955"
"1961","Slovenia","Deaths - total","14,013"
"1961","Slovakia","Average population - total","4,191,667"
"1961","Slovakia","Live births - total","87,359"
"1961","Slovakia","Deaths - total","31,403"
"1961","Finland","Average population - total","4,461,005"
"1961","Finland","Live births - total","81,996"
"1961","Finland","Deaths - total","40,616"
"1961","Sweden","Average population - total","7,519,998"
"1961","Sweden","Live births - total","104,501"
"1961","Sweden","Deaths - total","73,555"
"1961","United Kingdom","Average population - total","52,800,000"
"1961","United Kingdom","Live births - total","944,400"
"1961","United Kingdom","Deaths - total","631,800"
"1961","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Average population - total","415,523,383"
"1961","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Live births - total","7,669,306"
"1961","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Deaths - total","4,175,170"
"1961","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Average population - total","411,356,091"
"1961","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Live births - total","7,595,116"
"1961","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Deaths - total","4,137,374"
"1961","European Free Trade Association","Average population - total","9,240,000"
"1961","European Free Trade Association","Live births - total","166,715"
"1961","European Free Trade Association","Deaths - total","85,574"
"1961","Iceland","Average population - total","179,029"
"1961","Iceland","Live births - total","4,563"
"1961","Iceland","Deaths - total","1,248"
"1961","Liechtenstein","Average population - total","16,877"
"1961","Liechtenstein","Live births - total","359"
"1961","Liechtenstein","Deaths - total","131"
"1961","Norway","Average population - total","3,609,800"
"1961","Norway","Live births - total","62,555"
"1961","Norway","Deaths - total","33,191"
"1961","Switzerland","Average population - total","5,434,294"
"1961","Switzerland","Live births - total","99,238"
"1961","Switzerland","Deaths - total","51,004"
"1961","Montenegro","Average population - total",":"
"1961","Montenegro","Live births - total",":"
"1961","Montenegro","Deaths - total",":"
"1961","North Macedonia","Average population - total","1,408,302"
"1961","North Macedonia","Live births - total","42,182"
"1961","North Macedonia","Deaths - total","13,141"
"1961","Albania","Average population - total","1,659,800"
"1961","Albania","Live births - total","68,452"
"1961","Albania","Deaths - total","15,445"
"1961","Serbia","Average population - total",":"
"1961","Serbia","Live births - total",":"
"1961","Serbia","Deaths - total",":"
"1961","Turkey","Average population - total","28,095,138"
"1961","Turkey","Live births - total",":"
"1961","Turkey","Deaths - total",":"
"1961","Andorra","Average population - total",":"
"1961","Andorra","Live births - total",":"
"1961","Andorra","Deaths - total",":"
"1961","Belarus","Average population - total",":"
"1961","Belarus","Live births - total",":"
"1961","Belarus","Deaths - total",":"
"1961","Bosnia and Herzegovina","Average population - total","3,297,769"
"1961","Bosnia and Herzegovina","Live births - total","108,076"
"1961","Bosnia and Herzegovina","Deaths - total","29,413"
"1961","Kosovo (under United Nations Security Council Resolution 1244/99)","Average population - total","971,250"
"1961","Kosovo (under United Nations Security Council Resolution 1244/99)","Live births - total","40,561"
"1961","Kosovo (under United Nations Security Council Resolution 1244/99)","Deaths - total","11,759"
"1961","Moldova","Average population - total",":"
"1961","Moldova","Live births - total",":"
"1961","Moldova","Deaths - total",":"
"1961","Monaco","Average population - total",":"
"1961","Monaco","Live births - total",":"
"1961","Monaco","Deaths - total",":"
"1961","Russia","Average population - total",":"
"1961","Russia","Live births - total",":"
"1961","Russia","Deaths - total",":"
"1961","San Marino","Average population - total",":"
"1961","San Marino","Live births - total",":"
"1961","San Marino","Deaths - total",":"
"1961","Ukraine","Average population - total",":"
"1961","Ukraine","Live births - total",":"
"1961","Ukraine","Deaths - total",":"
"1961","Armenia","Average population - total",":"
"1961","Armenia","Live births - total",":"
"1961","Armenia","Deaths - total",":"
"1961","Azerbaijan","Average population - total",":"
"1961","Azerbaijan","Live births - total",":"
"1961","Azerbaijan","Deaths - total",":"
"1961","Georgia","Average population - total",":"
"1961","Georgia","Live births - total",":"
"1961","Georgia","Deaths - total",":"
"1962","Belgium","Average population - total","9,220,578"
"1962","Belgium","Live births - total","155,061"
"1962","Belgium","Deaths - total","112,758"
"1962","Bulgaria","Average population - total","8,012,946"
"1962","Bulgaria","Live births - total","134,148"
"1962","Bulgaria","Deaths - total","69,640"
"1962","Czechia","Average population - total","9,624,660"
