"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"1992","Estonia","Total","Age in completed years","Number","Total",":",""
"1992","Ireland","Total","Age in completed years","Number","Total","34,675",""
"1992","Greece","Total","Age in completed years","Number","Total","52,389",""
"1992","Spain","Total","Age in completed years","Number","Total",":",""
"1992","France","Total","Age in completed years","Number","Total",":",""
"1992","Croatia","Total","Age in completed years","Number","Total","8,859",""
"1992","Italy","Total","Age in completed years","Number","Total","56,985",""
"1992","Cyprus","Total","Age in completed years","Number","Total",":",""
"1992","Latvia","Total","Age in completed years","Number","Total","59,673",""
"1992","Lithuania","Total","Age in completed years","Number","Total","31,972",""
"1992","Luxembourg","Total","Age in completed years","Number","Total","6,440",""
"1992","Hungary","Total","Age in completed years","Number","Total",":",""
"1992","Malta","Total","Age in completed years","Number","Total",":",""
"1992","Netherlands","Total","Age in completed years","Number","Total","58,834",""
"1992","Austria","Total","Age in completed years","Number","Total",":",""
"1992","Poland","Total","Age in completed years","Number","Total","18,115",""
"1992","Portugal","Total","Age in completed years","Number","Total","25,559",""
"1992","Romania","Total","Age in completed years","Number","Total",":",""
"1992","Slovenia","Total","Age in completed years","Number","Total","3,848",""
"1992","Slovakia","Total","Age in completed years","Number","Total","128",""
"1992","Finland","Total","Age in completed years","Number","Total","6,055",""
"1992","Sweden","Total","Age in completed years","Number","Total","25,726",""
"1992","United Kingdom","Total","Age in completed years","Number","Total",":",""
"1992","Iceland","Total","Age in completed years","Number","Total","3,213",""
"1992","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"1992","Norway","Total","Age in completed years","Number","Total","16,801",""
"1992","Switzerland","Total","Age in completed years","Number","Total","117,034",""
"1992","North Macedonia","Total","Age in completed years","Number","Total",":",""
"1992","Belarus","Total","Age in completed years","Number","Total",":",""
"1992","Moldova","Total","Age in completed years","Number","Total",":",""
"1992","Russia","Total","Age in completed years","Number","Total",":",""
"1992","San Marino","Total","Age in completed years","Number","Total",":",""
"1992","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"1992","Tajikistan","Total","Age in completed years","Number","Total",":",""
"1992","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"1992","Armenia","Total","Age in completed years","Number","Total",":",""
"1992","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"1993","Belgium","Total","Age in completed years","Number","Total","44,811",""
"1993","Bulgaria","Total","Age in completed years","Number","Total",":",""
"1993","Czechia","Total","Age in completed years","Number","Total",":",""
"1993","Denmark","Total","Age in completed years","Number","Total","32,344",""
"1993","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","815,312",""
"1993","Estonia","Total","Age in completed years","Number","Total",":",""
"1993","Ireland","Total","Age in completed years","Number","Total","34,875",""
"1993","Greece","Total","Age in completed years","Number","Total","52,929",""
"1993","Spain","Total","Age in completed years","Number","Total",":",""
"1993","France","Total","Age in completed years","Number","Total",":",""
"1993","Croatia","Total","Age in completed years","Number","Total","9,169",""
"1993","Italy","Total","Age in completed years","Number","Total","61,282",""
"1993","Cyprus","Total","Age in completed years","Number","Total",":",""
"1993","Latvia","Total","Age in completed years","Number","Total","36,447",""
"1993","Lithuania","Total","Age in completed years","Number","Total","26,840",""
"1993","Luxembourg","Total","Age in completed years","Number","Total","5,826",""
"1993","Hungary","Total","Age in completed years","Number","Total",":",""
"1993","Malta","Total","Age in completed years","Number","Total",":",""
"1993","Netherlands","Total","Age in completed years","Number","Total","59,222",""
"1993","Austria","Total","Age in completed years","Number","Total",":",""
"1993","Poland","Total","Age in completed years","Number","Total","21,376",""
"1993","Portugal","Total","Age in completed years","Number","Total","16,566",""
"1993","Romania","Total","Age in completed years","Number","Total",":",""
"1993","Slovenia","Total","Age in completed years","Number","Total","1,390",""
"1993","Slovakia","Total","Age in completed years","Number","Total","7,355",""
"1993","Finland","Total","Age in completed years","Number","Total","6,405",""
